depth,RMean,RABD620,RABD670,RABD715,RABD845,RABD830,depth [mm]
303,0.0903298,0.996199,0.999588,1.00713,0.995044,0.988584,9.393
304,0.0900694,0.99706,0.999635,1.00701,0.995791,0.98893,9.424
305,0.0899552,0.997032,0.999195,1.00647,0.996212,0.989239,9.455
306,0.090008,0.997928,0.999652,1.00605,0.996335,0.989102,9.486
307,0.0901131,0.997903,0.999649,1.00528,0.996439,0.988882,9.517
308,0.090282,0.997557,0.999712,1.00523,0.997094,0.989097,9.548
309,0.0905239,0.997678,0.999302,1.00513,0.997425,0.988749,9.579
310,0.0908316,0.998682,0.999079,1.00506,0.99779,0.988348,9.61
311,0.0911748,0.998667,0.998976,1.00468,0.998076,0.987651,9.641
312,0.0915209,0.998748,0.998584,1.00462,0.998134,0.987266,9.672
313,0.0918334,0.999537,0.998496,1.00385,0.998629,0.986787,9.703
314,0.0920516,0.999346,0.998105,1.00396,0.999231,0.986657,9.734
315,0.0921696,0.999496,0.997734,1.00395,0.999774,0.986595,9.765
316,0.0922095,0.999441,0.997171,1.00376,0.999854,0.986168,9.796
317,0.0920682,0.999498,0.997228,1.00329,0.999897,0.98645,9.827
318,0.0918022,0.99885,0.997171,1.00273,1.0001,0.986312,9.858
319,0.0913783,0.998637,0.996458,1.00273,1.00028,0.986419,9.889
320,0.0906991,0.99884,0.996823,1.00272,1.00021,0.986386,9.92
321,0.0899208,0.998318,0.996946,1.00305,1.00017,0.986234,9.951
322,0.0891976,0.998285,0.996817,1.00373,0.99986,0.986185,9.982
323,0.0884283,0.997793,0.99669,1.00381,0.999474,0.98606,10.013
324,0.0877363,0.997671,0.996432,1.0045,0.999231,0.986101,10.044
325,0.0872087,0.997248,0.996161,1.00463,0.998778,0.986141,10.075
326,0.086758,0.996834,0.995644,1.00443,0.998903,0.986251,10.106
327,0.0864663,0.996031,0.995392,1.00436,0.99859,0.986271,10.137
328,0.0863297,0.99546,0.994866,1.00472,0.998948,0.98623,10.168
329,0.0863224,0.994915,0.995299,1.00467,0.999025,0.986246,10.199
330,0.0865245,0.994905,0.995728,1.00464,0.999067,0.986099,10.23
331,0.086772,0.994765,0.995765,1.00465,0.999527,0.986468,10.261
332,0.0871232,0.994848,0.995679,1.00467,1.00016,0.986463,10.292
333,0.0876055,0.994717,0.995759,1.00451,1.00039,0.986417,10.323
334,0.0881069,0.994922,0.996551,1.00476,1.00099,0.986625,10.354
335,0.0885737,0.994434,0.996687,1.00467,1.00138,0.98657,10.385
336,0.0890476,0.994923,0.997006,1.00449,1.00176,0.986954,10.416
337,0.0894,0.994641,0.997207,1.00412,1.00177,0.986755,10.447
338,0.0896931,0.993965,0.997775,1.0039,1.00218,0.9866,10.478
339,0.0898433,0.994403,0.998188,1.00342,1.00258,0.9862,10.509
340,0.0897986,0.994548,0.998421,1.00299,1.00275,0.986193,10.54
341,0.0895265,0.994637,0.998981,1.00313,1.00293,0.986329,10.571
342,0.0890355,0.994476,0.999299,1.0032,1.00265,0.98604,10.602
343,0.0883403,0.994295,0.999202,1.00295,1.00236,0.986151,10.633
344,0.0874625,0.994472,1.00009,1.00332,1.00145,0.986277,10.664
345,0.0865682,0.994671,1.00036,1.00368,1.00096,0.986624,10.695
346,0.0857016,0.995615,1.0005,1.00384,0.999942,0.986768,10.726
347,0.0849128,0.995801,1.00051,1.00404,0.998876,0.986902,10.757
348,0.0843259,0.995661,1.00011,1.00433,0.997857,0.986805,10.788
349,0.0839645,0.996143,0.999842,1.00417,0.996944,0.986602,10.819
350,0.083827,0.99604,0.999544,1.00412,0.996503,0.986606,10.85
351,0.0839129,0.996325,0.999538,1.00441,0.996031,0.986883,10.881
352,0.0841128,0.997211,0.998943,1.00478,0.99605,0.987082,10.912
353,0.0844373,0.997798,0.998934,1.00457,0.995709,0.987298,10.943
354,0.0848882,0.997787,0.998308,1.00451,0.995691,0.987792,10.974
355,0.0852854,0.997862,0.997885,1.00498,0.99586,0.987988,11.005
356,0.0857883,0.997618,0.997332,1.00512,0.996441,0.987852,11.036
357,0.0863205,0.997232,0.997186,1.00531,0.996877,0.988225,11.067
358,0.0868143,0.996744,0.997031,1.00513,0.99739,0.988242,11.098
359,0.0872744,0.996721,0.996481,1.00492,0.997949,0.988135,11.129
360,0.0877792,0.996152,0.996099,1.00476,0.998557,0.987911,11.16
361,0.0881789,0.995281,0.995655,1.00505,0.99905,0.987371,11.191
362,0.0885242,0.995409,0.996057,1.0049,0.999777,0.987018,11.222
363,0.0887408,0.995705,0.995871,1.00499,1.00051,0.986673,11.253
364,0.0888439,0.995396,0.996152,1.0053,1.00075,0.986996,11.284
365,0.0887948,0.995484,0.996246,1.00557,1.00068,0.986979,11.315
366,0.0886255,0.995528,0.996404,1.00519,1.00071,0.986772,11.346
367,0.0885177,0.99531,0.996278,1.00512,1.00077,0.987102,11.377
368,0.088399,0.996167,0.996682,1.00533,1.00038,0.986862,11.408
369,0.0883636,0.996599,0.997069,1.0051,1.00006,0.987002,11.439
370,0.0883687,0.996799,0.997392,1.00495,0.999598,0.986596,11.47
371,0.0885612,0.996777,0.997659,1.00509,0.999218,0.986261,11.501
372,0.088837,0.99743,0.997638,1.00473,0.999045,0.98612,11.532
373,0.0892806,0.998191,0.998077,1.00482,0.999307,0.985518,11.563
374,0.0898882,0.998453,0.998535,1.00478,0.999307,0.985109,11.594
375,0.090515,0.998665,0.99847,1.00441,0.999266,0.985015,11.625
376,0.091159,0.998513,0.998196,1.0041,0.999009,0.984882,11.656
377,0.0918083,0.998425,0.998113,1.00395,0.99888,0.985237,11.687
378,0.092331,0.997839,0.998062,1.00372,0.999224,0.98528,11.718
379,0.0927003,0.997584,0.997859,1.00387,0.999313,0.98516,11.749
380,0.0931007,0.997505,0.997922,1.00379,0.999358,0.985216,11.78
381,0.093332,0.997132,0.997703,1.00338,0.999187,0.985299,11.811
382,0.093513,0.99675,0.997545,1.00311,0.999522,0.98507,11.842
383,0.0936759,0.99654,0.997615,1.00323,0.999702,0.985044,11.873
384,0.0938481,0.995544,0.997655,1.0032,0.999647,0.985156,11.904
385,0.093954,0.996171,0.998127,1.00349,0.999414,0.985372,11.935
386,0.0939443,0.996673,0.998502,1.00331,0.998964,0.985649,11.966
387,0.0938798,0.996485,0.998599,1.00371,0.998669,0.986072,11.997
388,0.0937139,0.996799,0.998741,1.00354,0.997887,0.986776,12.028
389,0.0934761,0.996841,0.998453,1.00362,0.997511,0.986814,12.059
390,0.093226,0.996642,0.998597,1.00354,0.997594,0.986749,12.09
391,0.0929763,0.995951,0.998221,1.00367,0.997323,0.986914,12.121
392,0.0926848,0.996074,0.998143,1.00349,0.997012,0.986675,12.152
393,0.0924157,0.995858,0.998327,1.00308,0.996926,0.986821,12.183
394,0.0921782,0.996006,0.998555,1.00293,0.997127,0.986777,12.214
395,0.0920273,0.996413,0.998664,1.00263,0.997085,0.986763,12.245
396,0.0919714,0.996318,0.998564,1.00199,0.996962,0.986681,12.276
397,0.0919934,0.996326,0.998582,1.00209,0.997021,0.985858,12.307
398,0.0920019,0.996081,0.998859,1.0021,0.996697,0.985977,12.338
