depth,RMean,RABD620,RABD670,RABD715,RABD845,RABD830,depth [mm]
210,0.11605,0.99896,1.00133,0.999603,0.998344,0.993025,7.497
211,0.115432,0.999658,1.00099,0.999492,0.998586,0.992996,7.5327
212,0.114958,1.00014,1.00103,0.999897,0.998484,0.992622,7.5684
213,0.114772,1.0004,1.00059,0.999593,0.998438,0.992264,7.6041
214,0.114875,1.00103,1.0007,1.00006,0.998558,0.992028,7.6398
215,0.115271,1.00083,1.00057,1.00034,0.998469,0.991965,7.6755
216,0.115967,1.00076,1.00086,1.00029,0.998259,0.992364,7.7112
217,0.117024,1.00095,1.00054,1.00029,0.998422,0.992593,7.7469
218,0.118362,1.00032,1.00009,1.0003,0.998661,0.992413,7.7826
219,0.119926,1.00079,1.0005,0.999983,0.99888,0.992593,7.8183
220,0.121558,1.00075,1.00066,0.999716,0.999312,0.992781,7.854
221,0.12316,1.00027,1.00111,0.99948,0.999449,0.992584,7.8897
222,0.124616,1.00003,1.00103,0.999453,0.999858,0.992447,7.9254
223,0.125872,0.999644,1.00118,0.999263,0.999782,0.992034,7.9611
224,0.126954,0.998902,1.00113,0.99907,0.999177,0.991967,7.9968
225,0.127788,0.998525,1.00061,0.998662,0.999064,0.991645,8.0325
226,0.128333,0.997936,1.00066,0.998676,0.999025,0.991203,8.0682
227,0.128617,0.997998,1.00057,0.999024,0.998552,0.991136,8.1039
228,0.128542,0.997426,1.00083,0.99955,0.998185,0.990849,8.1396
229,0.128201,0.996748,1.00095,0.999858,0.998422,0.990805,8.1753
230,0.127674,0.996148,1.00009,0.999887,0.998359,0.990455,8.211
231,0.126915,0.996534,0.999833,1.00024,0.998396,0.990135,8.2467
232,0.126064,0.996231,0.999788,0.999973,0.998509,0.989886,8.2824
233,0.125141,0.997319,0.999599,0.999638,0.998831,0.989776,8.3181
234,0.124295,0.997763,0.999444,0.999696,0.998855,0.990002,8.3538
235,0.123576,0.998115,0.999251,1.00004,0.998846,0.990317,8.3895
236,0.122875,0.998674,0.999374,1.00048,0.998845,0.990572,8.4252
237,0.122363,0.999076,0.999415,1.00039,0.99881,0.990891,8.4609
238,0.121986,0.999267,0.999508,1.00068,0.998822,0.990949,8.4966
239,0.121795,0.998782,0.999882,1.00083,0.99912,0.991388,8.5323
240,0.121766,0.999098,1.00002,1.00058,0.999465,0.991527,8.568
241,0.121902,0.999278,0.99997,1.00027,0.999897,0.991489,8.6037
242,0.122175,0.999188,1.00016,1.00006,1.00018,0.991664,8.6394
243,0.122574,0.999842,1.00067,0.999465,1.00056,0.992067,8.6751
244,0.122971,0.999508,1.00067,0.998947,1.00074,0.99193,8.7108
245,0.12333,0.999238,1.00093,0.998476,1.00065,0.991539,8.7465
246,0.123601,0.999133,1.00047,0.997981,1.00073,0.99166,8.7822
247,0.123841,0.998708,1.00034,0.997894,1.00037,0.991518,8.8179
248,0.123959,0.998338,0.999772,0.99837,1.00037,0.991601,8.8536
249,0.124007,0.998053,0.999591,0.998477,1.00046,0.991201,8.8893
250,0.123945,0.997802,0.99982,0.998696,1.00059,0.991185,8.925
251,0.123765,0.997217,0.999896,0.998906,1.0007,0.99101,8.9607
252,0.123541,0.996159,0.999422,0.999183,1.00132,0.991024,8.9964
253,0.123307,0.995344,0.99892,0.999637,1.00172,0.99121,9.0321
254,0.123201,0.995302,0.998492,0.999422,1.00154,0.991238,9.0678
255,0.123181,0.995368,0.998291,0.999081,1.0021,0.991393,9.1035
256,0.123288,0.995381,0.998105,0.999219,1.00233,0.991537,9.1392
257,0.123526,0.995648,0.997741,0.999158,1.00253,0.991539,9.1749
258,0.123869,0.995202,0.997957,0.99955,1.0025,0.992069,9.2106
259,0.124321,0.995857,0.998095,1.00044,1.00261,0.991938,9.2463
260,0.124762,0.996339,0.99836,1.00094,1.00268,0.991922,9.282
