depth,RMean,RABD620,RABD670,RABD715,RABD845,RABD830,depth [mm]
256,0.0524563,1.00136,1.01767,1.02369,0.999999,0.994904,7.9104
257,0.0516387,1.00208,1.01916,1.01861,1.00058,0.993408,7.9413
258,0.050801,1.00287,1.02012,1.0135,1.00087,0.992058,7.9722
259,0.0500441,1.00411,1.02089,1.00856,1.00097,0.990573,8.0031
260,0.049349,1.00432,1.02102,1.00438,1.00097,0.989075,8.034
261,0.0488201,1.00505,1.02075,1.00121,1.00026,0.988812,8.0649
262,0.0484949,1.00606,1.01915,0.998466,0.999952,0.988754,8.0958
263,0.0483059,1.00651,1.01843,0.995939,0.999887,0.988345,8.1267
264,0.0483489,1.00577,1.01773,0.993687,0.999504,0.989472,8.1576
265,0.0486105,1.00618,1.01752,0.992327,0.998966,0.989478,8.1885
266,0.0490929,1.00655,1.01704,0.990606,0.998893,0.990418,8.2194
267,0.0497962,1.00667,1.01696,0.990179,0.998536,0.990982,8.2503
268,0.0506376,1.00621,1.01631,0.990893,0.99797,0.992096,8.2812
269,0.0517136,1.00482,1.01545,0.992725,0.997346,0.992753,8.3121
270,0.0523159,1.00447,1.01392,0.992612,0.996456,0.993508,8.343
271,0.052979,1.00417,1.01348,0.992121,0.996107,0.994211,8.3739
272,0.0535873,1.00353,1.01233,0.992155,0.995232,0.994306,8.4048
273,0.0542376,1.00337,1.01212,0.991486,0.994923,0.994475,8.4357
274,0.0548864,1.00339,1.01159,0.991366,0.995662,0.994426,8.4666
275,0.0555233,1.00342,1.01066,0.991738,0.996127,0.994397,8.4975
276,0.0559877,1.00352,1.01153,0.991634,0.9964,0.993873,8.5284
277,0.0563165,1.00264,1.01202,0.992346,0.996897,0.993154,8.5593
278,0.0564137,1.00323,1.01335,0.993232,0.996661,0.993158,8.5902
279,0.0563393,1.00379,1.01457,0.993941,0.997086,0.992328,8.6211
280,0.056173,1.0046,1.01571,0.99453,0.99753,0.9917,8.652
281,0.0560458,1.0043,1.01592,0.995771,0.998046,0.991391,8.6829
282,0.0559042,1.00391,1.01556,0.996949,0.998201,0.990643,8.7138
283,0.055827,1.0043,1.01497,0.998124,0.998473,0.989668,8.7447
284,0.0557587,1.00519,1.0143,0.999105,0.99867,0.989089,8.7756
285,0.0557032,1.00485,1.01401,1.00002,0.998508,0.988899,8.8065
286,0.0555577,1.00468,1.01314,1.00026,0.998984,0.988142,8.8374
287,0.0553547,1.00543,1.01364,1.0002,0.999493,0.988079,8.8683
288,0.0551292,1.00537,1.01292,0.999898,0.999562,0.988794,8.8992
289,0.0548632,1.00665,1.01287,0.999453,0.999982,0.988674,8.9301
290,0.0544905,1.00638,1.01269,0.998409,1.00048,0.989432,8.961
291,0.0541178,1.00603,1.01207,0.998421,1.00029,0.989495,8.9919
292,0.0537253,1.00627,1.0119,0.998131,1.00022,0.990166,9.0228
293,0.0533745,1.0062,1.01231,0.997916,1.00044,0.99013,9.0537
294,0.0530016,1.00714,1.01264,0.997936,1.00018,0.990602,9.0846
295,0.0527125,1.00705,1.0133,0.996968,1.00014,0.990664,9.1155
296,0.0523751,1.00698,1.0126,0.996032,0.999714,0.991114,9.1464
297,0.0520695,1.00709,1.01378,0.994684,0.999589,0.991458,9.1773
298,0.0518316,1.00735,1.01401,0.993843,0.999441,0.991693,9.2082
299,0.0516411,1.00678,1.01367,0.993069,0.998899,0.992151,9.2391
300,0.0514304,1.006,1.01322,0.991829,0.998662,0.992452,9.27
301,0.0511437,1.00546,1.0129,0.991807,0.998517,0.993169,9.3009
302,0.0508981,1.00563,1.0132,0.99149,0.998695,0.99412,9.3318
303,0.0507347,1.00356,1.01282,0.991159,0.999182,0.995409,9.3627
304,0.0507348,1.00315,1.01234,0.991445,0.999287,0.996279,9.3936
305,0.0508744,1.00192,1.01149,0.992124,0.99909,0.996504,9.4245
306,0.0510607,1.00184,1.01022,0.992292,0.999119,0.996302,9.4554
307,0.0512858,1.00178,1.00949,0.992237,0.998406,0.994755,9.4863
308,0.0514501,1.00051,1.00905,0.992134,0.998383,0.99398,9.5172
309,0.0515634,0.99922,1.00909,0.992425,0.998038,0.992239,9.5481
310,0.0515548,0.998969,1.00949,0.992489,0.998632,0.991816,9.579
311,0.051528,0.998078,1.00964,0.992738,0.998583,0.99149,9.6099
312,0.0514597,0.997415,1.00942,0.99351,0.998268,0.991583,9.6408
313,0.0512933,0.996688,1.00973,0.994042,0.998573,0.99158,9.6717
314,0.0511681,0.996097,1.01011,0.994591,0.99842,0.991305,9.7026
315,0.0511356,0.996274,1.01094,0.995587,0.998389,0.991473,9.7335
316,0.0511957,0.997581,1.01163,0.995795,0.998221,0.99109,9.7644
317,0.0513137,0.998403,1.01177,0.995947,0.997767,0.990687,9.7953
318,0.051419,0.99867,1.01253,0.996308,0.996929,0.990653,9.8262
319,0.0515284,0.999441,1.01314,0.996342,0.996819,0.990188,9.8571
320,0.0516447,1.00099,1.01315,0.996219,0.995992,0.99029,9.888
321,0.051721,1.00198,1.01308,0.996503,0.995475,0.990067,9.9189
322,0.0518878,1.00294,1.01191,0.996964,0.995135,0.990287,9.9498
323,0.0520461,1.00408,1.01151,0.997336,0.995212,0.990721,9.9807
324,0.0522386,1.00471,1.01072,0.996952,0.995175,0.991514,10.0116
325,0.0524236,1.00568,1.01125,0.99656,0.995296,0.992774,10.0425
326,0.0527632,1.00649,1.01202,0.995784,0.995116,0.993396,10.0734
327,0.0531998,1.00701,1.0113,0.995401,0.994918,0.994108,10.1043
328,0.0537235,1.00857,1.01152,0.99578,0.9945,0.99427,10.1352
329,0.0542982,1.00945,1.01074,0.995455,0.994348,0.994301,10.1661
330,0.0548829,1.00954,1.01066,0.995584,0.994164,0.994348,10.197
331,0.0554425,1.00983,1.01115,0.996386,0.99365,0.994141,10.2279
332,0.0558937,1.00876,1.0118,0.997213,0.994646,0.994517,10.2588
333,0.0562502,1.00925,1.012,0.998219,0.994852,0.994734,10.2897
334,0.0565026,1.00814,1.01262,0.99875,0.995779,0.995879,10.3206
335,0.0567257,1.00748,1.01291,0.999491,0.996253,0.996727,10.3515
336,0.0568369,1.00679,1.01291,1.00049,0.996677,0.997505,10.3824
337,0.0568991,1.00634,1.01392,1.00124,0.997707,0.997004,10.4133
338,0.0569683,1.00637,1.01443,1.0024,0.997937,0.996811,10.4442
339,0.0569666,1.00525,1.01418,1.00219,0.998609,0.996705,10.4751
340,0.0569541,1.00487,1.01371,1.00222,0.999087,0.995948,10.506
341,0.0569101,1.00367,1.01411,1.00257,0.999938,0.995486,10.5369
342,0.0566991,1.0037,1.01374,1.00317,1.00116,0.995638,10.5678
343,0.0563704,1.00357,1.0131,1.00326,1.00171,0.995159,10.5987
344,0.0559111,1.00327,1.01221,1.00283,1.00154,0.994731,10.6296
345,0.0553249,1.00284,1.01213,1.00291,1.00203,0.994139,10.6605
346,0.0547469,1.00231,1.01148,1.00262,1.00252,0.993861,10.6914
347,0.0541326,1.00257,1.01183,1.00167,1.00271,0.993504,10.7223
348,0.0535455,1.00175,1.01143,1.00047,1.00266,0.993742,10.7532
349,0.0530381,1.00214,1.012,0.999178,1.00232,0.99386,10.7841
350,0.0526162,1.00255,1.01237,0.997903,1.00213,0.994025,10.815
351,0.0523333,1.00274,1.01192,0.997273,1.00198,0.994542,10.8459
352,0.0521246,1.00242,1.0126,0.99723,1.00165,0.995369,10.8768
353,0.0520436,1.00337,1.01164,0.996847,1.00189,0.995958,10.9077
354,0.0520776,1.00279,1.01162,0.996947,1.00146,0.996701,10.9386
355,0.0522858,1.00336,1.01158,0.996445,1.00158,0.997266,10.9695
356,0.0525986,1.00308,1.01163,0.995647,1.00196,0.997502,11.0004
357,0.0529656,1.00417,1.01174,0.99507,1.00189,0.997532,11.0313
358,0.0533831,1.00402,1.01234,0.994685,1.00241,0.997314,11.0622
359,0.0537825,1.00463,1.01327,0.994855,1.00282,0.9971,11.0931
360,0.0542159,1.00531,1.014,0.994766,1.00259,0.996218,11.124
361,0.0546798,1.00561,1.01519,0.995075,1.00298,0.995227,11.1549
362,0.0551886,1.00547,1.01464,0.994462,1.00248,0.994766,11.1858
363,0.0556779,1.00555,1.01413,0.993673,1.00225,0.994082,11.2167
364,0.0561791,1.00571,1.01477,0.994226,1.00206,0.993056,11.2476
365,0.0566009,1.00525,1.01577,0.994665,1.00198,0.992833,11.2785
366,0.0569297,1.00568,1.01476,0.994854,1.00191,0.992947,11.3094
367,0.0572117,1.00526,1.01547,0.995132,1.00124,0.992105,11.3403
368,0.0574647,1.00547,1.01552,0.996047,1.00054,0.991543,11.3712
369,0.057753,1.00546,1.01602,0.996925,1.0004,0.991543,11.4021
370,0.0580004,1.00587,1.01521,0.997679,1.00012,0.991583,11.433
371,0.0582667,1.00496,1.01524,0.998128,0.999684,0.991632,11.4639
372,0.0585385,1.00469,1.0146,0.998379,0.999474,0.991435,11.4948
373,0.0588563,1.00429,1.01435,0.998549,0.998822,0.991412,11.5257
374,0.0591841,1.00398,1.01394,0.998349,0.998668,0.991853,11.5566
375,0.0595621,1.00396,1.01275,0.998665,0.998105,0.992601,11.5875
376,0.0599714,1.00355,1.01223,0.999041,0.998137,0.993133,11.6184
377,0.0603965,1.00348,1.0114,0.999136,0.998074,0.993898,11.6493
378,0.0608651,1.00325,1.01174,0.998984,0.997633,0.994688,11.6802
379,0.0614073,1.00408,1.0116,0.998857,0.997502,0.995144,11.7111
380,0.0618654,1.00433,1.01148,0.998745,0.9973,0.995459,11.742
381,0.0622104,1.0048,1.01156,0.998756,0.997235,0.994821,11.7729
382,0.0624398,1.00599,1.01163,0.998931,0.997045,0.994603,11.8038
383,0.0624741,1.00653,1.01245,0.999161,0.996734,0.994026,11.8347
384,0.0624444,1.00708,1.01237,0.99914,0.996322,0.993837,11.8656
385,0.0622681,1.00662,1.01198,0.998938,0.996599,0.993433,11.8965
386,0.0620218,1.00649,1.01106,0.998565,0.996403,0.992978,11.9274
387,0.0616781,1.0066,1.01134,0.998165,0.99648,0.992897,11.9583
388,0.0613309,1.00662,1.01199,0.998435,0.996877,0.992109,11.9892
389,0.0609938,1.00694,1.01218,0.9979,0.996804,0.99189,12.0201
390,0.0606899,1.00728,1.01149,0.997526,0.9975,0.991658,12.051
391,0.0603784,1.00739,1.01176,0.997611,0.997257,0.991066,12.0819
392,0.0600907,1.00657,1.01134,0.997839,0.99703,0.990675,12.1128
393,0.0598167,1.00587,1.01158,0.99755,0.997362,0.990513,12.1437
394,0.0594856,1.00455,1.01118,0.997013,0.997683,0.990159,12.1746
395,0.0592047,1.00309,1.01138,0.996394,0.997578,0.989187,12.2055
396,0.0589905,1.00337,1.01098,0.995386,0.997695,0.988457,12.2364
397,0.058836,1.0026,1.01137,0.994864,0.998037,0.988344,12.2673
398,0.058636,1.00362,1.01229,0.994405,0.998293,0.98823,12.2982
399,0.0584574,1.00372,1.01296,0.994185,0.998765,0.98857,12.3291
400,0.0582553,1.00401,1.01442,0.994258,0.998899,0.989228,12.36
401,0.0580583,1.00487,1.01562,0.994394,0.99889,0.990039,12.3909
402,0.0579658,1.00607,1.01705,0.994141,0.998963,0.99077,12.4218
403,0.0580138,1.00674,1.01733,0.994526,0.998927,0.991442,12.4527
